x0,y0,width,height,label
0,0,22,27,auto-flat
260,0,2,4,auto-flat
1008,0,23,1025,auto-flat
10,2,19,20,auto-flat
903,20,3,3,auto-flat
973,24,3,3,auto-flat
2,36,5,201,auto-flat
670,41,3,3,auto-flat
1003,58,4,5,auto-flat
939,79,4,4,auto-flat
935,140,3,3,auto-flat
690,158,3,3,auto-flat
1017,181,3,4,auto-flat
837,197,5,4,auto-flat
508,207,4,4,auto-flat
0,241,7,188,auto-flat
400,252,7,7,auto-flat
180,334,3,5,auto-flat
3,433,5,5,auto-flat
0,439,9,478,auto-flat
936,470,4,4,auto-flat
851,500,3,3,auto-flat
897,529,3,3,auto-flat
962,538,3,3,auto-flat
714,716,3,4,auto-flat
650,719,3,4,auto-flat
701,722,4,3,auto-flat
776,735,3,3,auto-flat
986,790,3,3,auto-flat
352,836,3,3,auto-flat
897,836,4,4,auto-flat
327,840,5,6,auto-flat
341,859,4,5,auto-flat
701,863,3,3,auto-flat
635,871,3,3,auto-flat
987,894,3,3,auto-flat
6,909,5,5,auto-flat
0,918,10,39,auto-flat
0,966,53,59,auto-flat
10,972,42,44,auto-flat
70,995,4,4,auto-flat
